Questionnaire Name,Account Number,Account Name,Country,CDP Region,ParentSection,Section,Question Number,Question Name,Row Number,Water security risk drivers,Anticipated timescale,Estimated magnitude of potential impact,Estimated probability of impact,Risk description
Cities 2021,1499,Ajuntament de Barcelona,Spain,Europe,14. Water Security,Water Supply,14.2a,Please identify the risks to your city’s water security as well as the timescale and level of risk.,8,Declining water quality,Current,Serious,High,"Bathing water quality improvement, ongoing LIFE project iBATHWATER. https://www.ibathwater.eu/"
Cities 2021,1499,Ajuntament de Barcelona,Spain,Europe,14. Water Security,Water Supply,14.2a,Please identify the risks to your city’s water security as well as the timescale and level of risk.,9,Declining water quality,Current,Serious,High,"Reduction of pollution at origen. Sewer sociology to prevent improper waste in sewage: wet wipes, oils and greases. Ongoing project H2020 SCOREWATER https://www.scorewater.eu/"
Cities 2021,1850,Birmingham City Council,United Kingdom of Great Britain and Northern Ireland,Europe,14. Water Security,Water Supply,14.2a,Please identify the risks to your city’s water security as well as the timescale and level of risk.,0,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
Cities 2021,2185,Bristol City Council,United Kingdom of Great Britain and Northern Ireland,Europe,14. Water Security,Water Supply,14.2a,Please identify the risks to your city’s water security as well as the timescale and level of risk.,0,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
Cities 2021,2430,"City of Burlington, VT",United States of America,North America,14. Water Security,Water Supply,14.2a,Please identify the risks to your city’s water security as well as the timescale and level of risk.,0,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
Cities 2021,2621,Cambridgeshire County Council,United Kingdom of Great Britain and Northern Ireland,Europe,14. Water Security,Water Supply,14.2a,Please identify the risks to your city’s water security as well as the timescale and level of risk.,1,Increased water demand,Short-term (by 2025),Extremely serious,High,increased growth without a secure water supply to feed this growth
Cities 2021,3203,"City of Chicago, IL",United States of America,North America,14. Water Security,Water Supply,14.2a,Please identify the risks to your city’s water security as well as the timescale and level of risk.,0,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
Cities 2021,3417,"New York City, NY",United States of America,North America,14. Water Security,Water Supply,14.2a,Please identify the risks to your city’s water security as well as the timescale and level of risk.,1,Inadequate or ageing water supply infrastructure,Current,Serious,,"New York City’s drinking water meets orexceeds the highest quality standards.But lead can enter tap water throughhousehold plumbing, causing levels thatmay pose a health risk to young children."
Cities 2021,3422,Greater London Authority,United Kingdom of Great Britain and Northern Ireland,Europe,14. Water Security,Water Supply,14.2a,Please identify the risks to your city’s water security as well as the timescale and level of risk.,1,Increased water stress,Short-term (by 2025),Serious,Medium-high,Short term drought risk is significant. The impacts of a severe drought on London would be very disruptive and hugely expensive
Cities 2021,3422,Greater London Authority,United Kingdom of Great Britain and Northern Ireland,Europe,14. Water Security,Water Supply,14.2a,Please identify the risks to your city’s water security as well as the timescale and level of risk.,2,Increased water stress,Long-term (after 2050),Serious,High,"In the medium to longer term, London is forecasting a supply demand deficit of nearly 800 million litres a day by 2100 if nothing is done to close the gap this is a combination of reducing availability of water due to climate change and increasing demand due to projected population growth"
Cities 2021,3422,Greater London Authority,United Kingdom of Great Britain and Northern Ireland,Europe,14. Water Security,Water Supply,14.2a,Please identify the risks to your city’s water security as well as the timescale and level of risk.,3,Increased water demand,Long-term (after 2050),Serious,Medium-high,Projected population growth will account for a significant increase in demand event if per capita consumption rates decrease as planned.
Cities 2021,3422,Greater London Authority,United Kingdom of Great Britain and Northern Ireland,Europe,14. Water Security,Water Supply,14.2a,Please identify the risks to your city’s water security as well as the timescale and level of risk.,4,Environmental regulations,Short-term (by 2025),Less Serious,Medium,"In addition to reductions in resource availability due to expected climate change impacts, there are regulatory pressures to reduce water abstraction in some locations. This is driven by a need to reduce the environmental impact of unsustainable abstraction. Such reduction to supply are very carefully evidenced."
Cities 2021,3429,Stockholms stad,Sweden,Europe,14. Water Security,Water Supply,14.2a,Please identify the risks to your city’s water security as well as the timescale and level of risk.,1,Declining water quality,Medium-term (by 2050),Less Serious,Medium,"Increased risk of contaminated drinking water. The city's water will require more treatments when the water is contaminated with higher concentrations of algae, natural organic matter and particles."
Cities 2021,3429,Stockholms stad,Sweden,Europe,14. Water Security,Water Supply,14.2a,Please identify the risks to your city’s water security as well as the timescale and level of risk.,2,Declining water quality,Long-term (after 2050),Serious,Medium-high,Sea water entering into the lake Mälaren and  flooding risks.
Cities 2021,5871,Essex County Council,United Kingdom of Great Britain and Northern Ireland,Europe,14. Water Security,Water Supply,14.2a,Please identify the risks to your city’s water security as well as the timescale and level of risk.,1,Increased water scarcity,Medium-term (by 2050),Serious,Medium-high,"Based on correspondence with Anglian Water. This does not include adaptation to the risk, which is managed through the WRMP and Drought Plan."
Cities 2021,5871,Essex County Council,United Kingdom of Great Britain and Northern Ireland,Europe,14. Water Security,Water Supply,14.2a,Please identify the risks to your city’s water security as well as the timescale and level of risk.,2,Environmental regulations,Short-term (by 2025),Serious,Medium-low,"Based on correspondence with Affinity Water. Ongoing environmental investigations may lead to sustainability reductions (i.e. reductions in abstractions from certain sources deemed environmentally damaging) which may ultimately reduce the available water supply. Therefore, alternative supply arrangements need to be found in the short-term. Risk is potentially serious but is being actively managed therefore probability of us not having enough supply is lower."
Cities 2021,5871,Essex County Council,United Kingdom of Great Britain and Northern Ireland,Europe,14. Water Security,Water Supply,14.2a,Please identify the risks to your city’s water security as well as the timescale and level of risk.,3,Increased water demand,Short-term (by 2025),Serious,Medium-high,Based on correspondence with Anglian Water and Affinity Water. Population growth included within this i.e. not just effect of climate change on demand. This has been exacerbated by the shift to homeworking due to the Covid-19 response. Water demand forecast to increase in the long-term. WRMP aims to address any future imbalance if demand outstrips supply.
Cities 2021,5871,Essex County Council,United Kingdom of Great Britain and Northern Ireland,Europe,14. Water Security,Water Supply,14.2a,Please identify the risks to your city’s water security as well as the timescale and level of risk.,4,Drought,Medium-term (by 2050),Serious,Medium-high,"Based on correspondence with Anglian Water. This does not include adaptation to the risk, which is managed through the WRMP and Drought Plan."
Cities 2021,5871,Essex County Council,United Kingdom of Great Britain and Northern Ireland,Europe,14. Water Security,Water Supply,14.2a,Please identify the risks to your city’s water security as well as the timescale and level of risk.,5,Severe weather events,Medium-term (by 2050),Less Serious,Medium-high,"Based on correspondence with Anglian Water. This does not include adaptation to the risk, which is managed through the WRMP and Drought Plan."
Cities 2021,5871,Essex County Council,United Kingdom of Great Britain and Northern Ireland,Europe,14. Water Security,Water Supply,14.2a,Please identify the risks to your city’s water security as well as the timescale and level of risk.,6,Pollution incidents,Medium-term (by 2050),Serious,Medium-low,"Based on correspondence with Anglian Water. This does not include adaptation to the risk, which is managed through the WRMP and Drought Plan."
Cities 2021,8242,Helsingin kaupunki,Finland,Europe,14. Water Security,Water Supply,14.2a,Please identify the risks to your city’s water security as well as the timescale and level of risk.,0,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
Cities 2021,10495,"City of Las Vegas, NV",United States of America,North America,14. Water Security,Water Supply,14.2a,Please identify the risks to your city’s water security as well as the timescale and level of risk.,1,Increased water stress,Current,Extremely serious,High,"Lake Mead, which is 90% of Southern Nevada's supply,  is currently less than 40% of capacity, and continues to decline. Southern Nevada Water Authority officials have also been studying and have water rights in Eastern Nevada and will develop a groundwater importation project (pipeline) in the event water levels continue to decline."
Cities 2021,10495,"City of Las Vegas, NV",United States of America,North America,14. Water Security,Water Supply,14.2a,Please identify the risks to your city’s water security as well as the timescale and level of risk.,2,Declining water quality,Medium-term (by 2050),Serious,Medium,"As Lake Mead's level declines, there are concerns of declining levels of water quality due to increased salinity. A recently completed third intake project at the lowest part of the lake will mitigate water quality concerns. In addition, invasive species (quagga mussel) have led to declines in water quality."
Cities 2021,10495,"City of Las Vegas, NV",United States of America,North America,14. Water Security,Water Supply,14.2a,Please identify the risks to your city’s water security as well as the timescale and level of risk.,3,Inadequate or ageing water supply infrastructure,Medium-term (by 2050),Less Serious,Low,"Most of the Southern Nevada water system is relatively new; however, as the system ages, there is an issue of maintenance costs. A third intake has had to be constructed as well as a connection between treatment plants in the event water levels decline to the point water cannot be drawn from one of the two other intakes at higher lake elevations.With more intense and frequent rainfall comes the risk of flooding. Much of the regional flood control network that has developed since 1985 has mitigated flood risks, but more flood control is needed as development continues."
Cities 2021,10495,"City of Las Vegas, NV",United States of America,North America,14. Water Security,Water Supply,14.2a,Please identify the risks to your city’s water security as well as the timescale and level of risk.,4,Higher water prices,Short-term (by 2025),Less Serious,Medium,"Water costs are higher due to infrastructure charges used to pay for new water projects, such as the third intake at Lake Mead. Even with conservation efforts, water costs have increased."
Cities 2021,10495,"City of Las Vegas, NV",United States of America,North America,14. Water Security,Water Supply,14.2a,Please identify the risks to your city’s water security as well as the timescale and level of risk.,5,Increased water demand,Current,Serious,Medium,"Water costs are higher due to infrastructure charges used to pay for new water projects, such as the third intake at Lake Mead. Even with conservation efforts, water costs have increased."
Cities 2021,10495,"City of Las Vegas, NV",United States of America,North America,14. Water Security,Water Supply,14.2a,Please identify the risks to your city’s water security as well as the timescale and level of risk.,6,Environmental regulations,Current,Less Serious,Low,"Water restrictions have led to more conservation; however, if Lake Mead continues to decline, a Federally mandated cut in Southern Nevada's water allocation may occur, and nearly did during the 2015-2016."
Cities 2021,10495,"City of Las Vegas, NV",United States of America,North America,14. Water Security,Water Supply,14.2a,Please identify the risks to your city’s water security as well as the timescale and level of risk.,7,Drought,Current,Extremely serious,High,"The City is currently experiencing a 20 year drought. According to climate scientists and SNWA, there is an 80 to 90 percentchance there will be another mutli-decade drought this century due to climate change. This hazard has the immediate effect of a shortfall of water supplies across all Colorado River water users; the long-term effect will also be economic and environmental"
Cities 2021,10495,"City of Las Vegas, NV",United States of America,North America,14. Water Security,Water Supply,14.2a,Please identify the risks to your city’s water security as well as the timescale and level of risk.,8,Energy supply issues,Current,Less Serious,Medium-low,"Due to the drought, there is less hydro capacity and generation at Hoover and Davis Dams as a result of lower water supplies."
Cities 2021,10595,Leeds City Council,United Kingdom of Great Britain and Northern Ireland,Europe,14. Water Security,Water Supply,14.2a,Please identify the risks to your city’s water security as well as the timescale and level of risk.,1,Increased water demand,Medium-term (by 2050),Serious,Medium-low,"Population of Yorkshire is projected to increase by one million by 2045, going from 5.4 million (2016) to 6.4 million (2045).Yorkshire Water expect to supply up to 578,000 new properties, taking the total served to 2.85 million.Works to reduce leakage by 40% will, however, ensure demand is still met."
Cities 2021,10595,Leeds City Council,United Kingdom of Great Britain and Northern Ireland,Europe,14. Water Security,Water Supply,14.2a,Please identify the risks to your city’s water security as well as the timescale and level of risk.,2,Drought,Medium-term (by 2050),Serious,Medium-low,"Yorkshire Water have a projected loss of 100 Ml/d(*) supply by 2045, due to climate change.(*) Mega litres per day."
Cities 2021,10595,Leeds City Council,United Kingdom of Great Britain and Northern Ireland,Europe,14. Water Security,Water Supply,14.2a,Please identify the risks to your city’s water security as well as the timescale and level of risk.,3,Environmental regulations,Medium-term (by 2050),Less Serious,Medium-low,Yorkshire Water identify 'ongoing environmental pressure' to reduce water abstraction  as one of their key challenges in their 'Water Resources Management Plan' linked in question 14.4
Cities 2021,10595,Leeds City Council,United Kingdom of Great Britain and Northern Ireland,Europe,14. Water Security,Water Supply,14.2a,Please identify the risks to your city’s water security as well as the timescale and level of risk.,4,Higher water prices,Medium-term (by 2050),Less Serious,Medium-low,"Yorkshire Water identify providing high levels of resilience and meeting service levels, at an affordable price  as another of their key challenges in their 'Water Resources Management Plan' linked in section 14.4"
Cities 2021,10806,London Borough of Enfield,United Kingdom of Great Britain and Northern Ireland,Europe,14. Water Security,Water Supply,14.2a,Please identify the risks to your city’s water security as well as the timescale and level of risk.,1,Drought,Medium-term (by 2050),Serious,Medium-low,"Thames Water expects that climate change will increase the frequency of more extreme droughts in the future. London is considered to be vulnerable to severe droughts with durations of 18 to 24 months. According to the Thames Water Resources Management Plan, the supply demand deficit is predicted to increase considerably over the next 80 years. This is due to the significant increase in population, exacerbated by the impacts of climate change and increases in exports to neighbouring water companies from Thames Water's current water trading agreements."
Cities 2021,10806,London Borough of Enfield,United Kingdom of Great Britain and Northern Ireland,Europe,14. Water Security,Water Supply,14.2a,Please identify the risks to your city’s water security as well as the timescale and level of risk.,2,Increased water demand,Short-term (by 2025),Serious,Medium-high,The rate of population growth is expected to be relatively high in the short-term to 2025. Thames Water are forecasting a population increase of between 4.1 and 6 million reaching a total population of between 13.9 million and 15 million people by 2100.
Cities 2021,10806,London Borough of Enfield,United Kingdom of Great Britain and Northern Ireland,Europe,14. Water Security,Water Supply,14.2a,Please identify the risks to your city’s water security as well as the timescale and level of risk.,3,Increased water scarcity,Long-term (after 2050),Serious,Medium-high,"Climate change will affect when and how much rain falls in the plan period and is an important factor in long-term water resource management planning. Thames Water has used the medium emissions UK Climate Change Projections 2009 to forecast the impact of climate change, and forecast a significant reduction in water supply by the 2080s."
Cities 2021,10894,"City of Los Angeles, CA",United States of America,North America,14. Water Security,Water Supply,14.2a,Please identify the risks to your city’s water security as well as the timescale and level of risk.,1,Increased water stress,Current,Serious,Medium,"Historic drought; although the state-wide California drought from 2014 to 2017 was recently declared over, the City anticipates being affected by future droughts. The California Governor has declared a drought for some areas of California in 2021. Although LA is not included, our water storage is dependent on future rainfall, which is not guaranteed. LA    is continuing public education and outreach on water conservation as a new way of life."
Cities 2021,10894,"City of Los Angeles, CA",United States of America,North America,14. Water Security,Water Supply,14.2a,Please identify the risks to your city’s water security as well as the timescale and level of risk.,2,Inadequate or ageing water supply infrastructure,Current,Serious,Low,"About one-fifth of the city's water pipes were installed before 1931 and nearly all will reach the end of their useful lives in the next 15 years. The Department of Water and Power (DWP) has assigned letter grades to water main pipes to prioritize replacement in the city’s 6,730-mile network. The Department is upgrading water infrastructure as part of a $6.3 billion five-year Water System capital plan (per DWP's 2017-2018 Water Infrastructure Plan) and has replaced 112 miles of old mainline pipe from January 2018 to June 2021 so far."
Cities 2021,10894,"City of Los Angeles, CA",United States of America,North America,14. Water Security,Water Supply,14.2a,Please identify the risks to your city’s water security as well as the timescale and level of risk.,3,Increased water demand,Long-term (after 2050),Less Serious,Low,"The City of Los Angeles in 2019 also recorded a 16% increase in homelessness (with roughly 36,300 sheltered and unsheltered residents). Additionally, the City of Los Angeles' Green New Deal Sustainable City pLAn 2019 has a target goal to install or refurbish hydration stations (drinking fountains and water bottle refill stations combined) at 200 sites, prioritizing municipally-owned buildings and public properties such as parks, by 2035. With high temperatures in Los Angeles during the summer months and to increase equitable water access for all people in Los Angeles, the City of Los Angeles is working to ensure that public drinking water fountain access will increase for both the homeless and in areas of highest need for vulnerable Angelenos."
Cities 2021,11315,City of Manchester,United Kingdom of Great Britain and Northern Ireland,Europe,14. Water Security,Water Supply,14.2a,Please identify the risks to your city’s water security as well as the timescale and level of risk.,1,,,,,Link to united utilities water supply resilience technical report - https://www.unitedutilities.com/globalassets/z_corporate-site/about-us-pdfs/wrmp-2019---2045/final-wrmp19-technical-report---water-supply-resilience.pdfhttps://unitedutilities.annualreport2020.com/strategic-report/our-risk-management/principal-risks-and-uncertainties.htmlUnited utilities have identified 15 operational risks.  1.Water pollutions 2.Contamination 3.Leakage 4.Environmental/regulation risk 5.Structural failure of water retain structures 6.Interruptions to supply7.Poor water quality 8.Process safety risks (water)9.Odour nuisance 10.Process safety risk (wate water)11.Failing waste water treatment works 12.Unsatisfactory sludge disposal13.Pollution of bathing waters 14.Wastewater pollution 15.Sewer floodinghttps://www.unitedutilities.com/globalassets/z_corporate-site/pr19/supplementary/s4003_corporate_risk_management_framework.pdf
Cities 2021,11315,City of Manchester,United Kingdom of Great Britain and Northern Ireland,Europe,14. Water Security,Water Supply,14.2a,Please identify the risks to your city’s water security as well as the timescale and level of risk.,2,Inadequate or ageing water supply infrastructure,Medium-term (by 2050),Serious,Medium-high,"The largest resilience risk that United Utilities have identified is associated with numerous potential single points of failure on their regional aqueduct system, which supplies water to Manchester and Pennine areas.  These aqueducts transport potable water from the Lake District through Cumbria, Lancashire and south to Greater Manchester. It also provides critical support to the south of the zone and can be used to offset supply from the River Dee and Lake Vyrnwy, including during an outage event if we experienced contamination in the River Dee.The long distance aqueducts that supply Manchester have been the subject of investigation and refurbishment since the 1990s. Considerable planning and investment in enabling works was required to complete a 4 week outage of a 109 km potable water supply aqueduct commissioned in the 1950s. The findings from this outage investigation, completed in the winter of 2016, indicate that there are a number of risks that could affect the resilience of service to customers. These risks arise mainly from degradation of concrete lined tunnel sections of the aqueduct. The Manchester and Pennine Resilience risk could, in the future, result in a widespread water quality incident or loss of supply to many thousands of properties for an extended period. United Utilities have carried out extensive risk analysis covering a range of failure modes and consequences, with the risk increasing as the asset ages and deteriorates over the coming years. For the purposes of customer research and consultation we have simplified this into three indicative events to represent the overall baseline system risk over a future 10 year period: • 65% probability that 1.2 million properties could be affected by water quality problems for at least one week • 35% probability that 120,000 properties could be affected by supply interruptions for up to three months • 10% probability that 240,000 properties could be affected by supply interruptions for up to two weeks These represent the baseline risk in the absence of any options which are discussed in the following sections. The baseline risk ranks highly when assessed alongside other water assets in accordance with the company risk assessment process.https://www.unitedutilities.com/globalassets/z_corporate-site/about-us-pdfs/wrmp-2019---2045/final-water-resources-management-plan-2019.pdf"
Cities 2021,11315,City of Manchester,United Kingdom of Great Britain and Northern Ireland,Europe,14. Water Security,Water Supply,14.2a,Please identify the risks to your city’s water security as well as the timescale and level of risk.,3,Severe weather events,Medium-term (by 2050),Serious,Medium-high,"United Utilities identifies severe weather events  as water service risks with a potential to cause a failure to provide a secure supply of clean, safe drinking water and the potential for a negative impact on public confidence in water supply. With key impacts being: Danger to public health caused by poor water quality;The impact on communities caused by interruptions to water supply. They also identify severe weather as a wastewater security risk.  Identifying  failure of wastewater network snd sewer Flooding as one of the  company's most significant event-based risks. Significant impacts:Pollution incidents, interruptions to drainage services and sewer flooding could lead to damage to the natural environment, disruption to businesses and domestic customers Flooding, particularly involving sewers, can have profound impacts on physical health, and in severe cases may cause a risk to live and can impact on stress levels and mental health  and destruction and Contamination of habitats and ecosystems within Manchester Cold  spells , although predicted to be less common, can also cause disruption due to  freezing water causing burst pipes."
Cities 2021,11315,City of Manchester,United Kingdom of Great Britain and Northern Ireland,Europe,14. Water Security,Water Supply,14.2a,Please identify the risks to your city’s water security as well as the timescale and level of risk.,4,Drought,Long-term (after 2050),Less Serious,Medium,"United Utilities identifies drought as a water service risk with a potential to cause A failure to provide a secure supply of clean, safe drinking water and the potential for a negative impact on public confidence in water supply. With key impacts being danger to public health caused by poor water quality and The impact on  businesses communities caused by interruptions to water supply. They have also identified  Water scarcity and water trading as an emerging issue due  to the proposed strategic transfer of water from the North West to the South East of England and the associated service, commercial and reputational impacts."
Cities 2021,11315,City of Manchester,United Kingdom of Great Britain and Northern Ireland,Europe,14. Water Security,Water Supply,14.2a,Please identify the risks to your city’s water security as well as the timescale and level of risk.,5,Pollution incidents,Medium-term (by 2050),Less Serious,Medium,"United Utilities have identified  of wastewater assets (serious pollution) as one of the  company's most significant event-based risks. Risk exposure: The unintended introduction of pollutants (including sewage) into the environment, due the capacityand capability of wastewater assets.  Flooding overrunning the capacity of the sewer network causing, Interruptions to drainage services and sewer flooding leading to damage to the natural environment, disruption to businesses and residents and risks to public health They have also identified plastics and biosolids as new and emerging risks.  Plastics: Implications associated with the current attention on single use plastics and microplastic pollution in water, wastewater effluent discharge and sludge disposal (see biosolids recycling to agriculture).• Biosolids recycling to agriculture: The practice of disposing of biosolids to agriculture could be banned (partially or in full) in the UK based on similar actions within Europe.Page 36 https://www.unitedutilities.com/globalassets/documents/pdf/united-utilities-27052021.pdf"
Cities 2021,11315,City of Manchester,United Kingdom of Great Britain and Northern Ireland,Europe,14. Water Security,Water Supply,14.2a,Please identify the risks to your city’s water security as well as the timescale and level of risk.,6,Change in land-use,Current,Less Serious,Medium,"United Utilities have identified changes in permeable areas (urban creep) as a water security risk driver. Urban creep arises from the conversion of existing permeable areas, for example gardens, verges and paths to impermeable areas. There has been a significant increase in the proportion of front gardens that are completely paved over in the Northwest, up 4% in 2005 to 21% in 2015, usually to provide space for car parking. Such changes increase the volume of surface run-off and the speed of which it discharges to the sewer. Though pace of urban creep is negligible in Manchester city centre it is much more significant in the suburbs and the areas in greater Manchester and beyond in the catchment areas of the Irk, Irwell and Medlock that pose a flooding risk in Manchester and pose a substantial risk to the resilience of the wastewater network and treatment processes."
Cities 2021,13067,"City of New Orleans, LA",United States of America,North America,14. Water Security,Water Supply,14.2a,Please identify the risks to your city’s water security as well as the timescale and level of risk.,1,Inadequate or ageing water supply infrastructure,Current,Serious,,The city has aging and very energy dependent water infrastructure. It must be continuously maintained and upgraded.
Cities 2021,13113,Newcastle City Council,United Kingdom of Great Britain and Northern Ireland,Europe,14. Water Security,Water Supply,14.2a,Please identify the risks to your city’s water security as well as the timescale and level of risk.,0,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
Cities 2021,13506,Nottingham City Council,United Kingdom of Great Britain and Northern Ireland,Europe,14. Water Security,Water Supply,14.2a,Please identify the risks to your city’s water security as well as the timescale and level of risk.,1,Increased water demand,Medium-term (by 2050),Serious,Medium-high,It is expected population and housing numbers will continue to grow across the region and we need to be able to meet that growth in demand for water services.
Cities 2021,13506,Nottingham City Council,United Kingdom of Great Britain and Northern Ireland,Europe,14. Water Security,Water Supply,14.2a,Please identify the risks to your city’s water security as well as the timescale and level of risk.,2,Ecosystem vulnerability,Medium-term (by 2050),Serious,Medium-high,"There are risks to the future ecological status of the water bodies (as defined by the Water Framework Directive) in the Nottinghamshire region through abstraction from water sources and operations that have a detrimental impact on the environment, and low flows. This could impact sources from which Nottingham relies on for abstraction."
Cities 2021,13506,Nottingham City Council,United Kingdom of Great Britain and Northern Ireland,Europe,14. Water Security,Water Supply,14.2a,Please identify the risks to your city’s water security as well as the timescale and level of risk.,3,"Other, please specify: Unsustainable abstraction",Medium-term (by 2050),Serious,Medium-high,"Although the Severn Trent WRMP does not split Nottingham out from Nottinghamshire, there is the potential that waterbodies within Nottingham, or those from which water is abstracted from the wider region used by Nottingham citizens, are at risk of deterioration due to future increases in abstraction (up to 2027) or river flows are not the main reason for the waterbody failing to achieve good status. Broadly, the challenges around unsustainable abstraction mean that there is a need to reduce pressure on some of the groundwater bodies from which our borehole sources abstract. In the future, to prevent deterioration there can be no sustained increase in the amount we abstract from a number of our region’s groundwater bodies."
Cities 2021,13506,Nottingham City Council,United Kingdom of Great Britain and Northern Ireland,Europe,14. Water Security,Water Supply,14.2a,Please identify the risks to your city’s water security as well as the timescale and level of risk.,4,"Other, please specify: Climate change",Long-term (after 2050),Serious,Medium,The combined impact of increasing demand and the impacts of climate change  pose a longer term risk to the supply/demand deficit for the Nottinghamshire water resource zone.
